day,date,from,to,via,km,overnight,note
1,2026-07-18,Grevenbroich,Flensburg,Hamburg Hafen,578.5,Flensburg,Aufbruch 07:00 · viel Stau · Hafen Hamburg 13:13 · Ankunft 17:00 · Möwe/Blumen am Hafen, Umpacken im Parkhaus
2,2026-07-19,Flensburg,Skien,Hirtshals; Fähre Color Line Hirtshals–Larvik (0 gefahrene km · Seeweg); Larvik,390,Skien,Nur gefahrene km (Flensburg–Hirtshals + Larvik–Skien) · Faehre Hirtshals–Larvik separat mit 0 km Autostrecke · Mittag an Bord 13:00 · Oskar auf dem Deck im Wind · Ankunft Skien 18:15 · Pizza bei Freunden
3,2026-07-20,Skien,Skien,Hütte am See,40,Skien,Aktivitätstag · Hütte 581 m, ca. 40 km Hin-/Ruecktour ab Skien (geschaetzt) · Wanderung zum See · Ruderboot · Beeren · Grillen · bestes Wetter
4,2026-07-21,Skien,Skien,Küste bei Langesund,40,Skien,Aktivitätstag · Ausflug ans Meer, ca. 40 km Hin-/Ruecktour (geschaetzt) · Muscheln sammeln · Eis · Einkauf für den Roadtrip
5,2026-07-22,Skien,Skien,,20,Skien,Ruhetag vor dem Roadtrip, kleinere Fahrten (geschaetzt ca. 20 km) · Kapla · Route besprochen · zweites Grillen
6,2026-07-23,Skien,Geilo,Heddal Stabkirche; Rastplatz am See,220,Hakkesetstølen Fjellstugu,Roadtrip-Tag 1 · Tankstand 642 km · Stabkirche 12:22 · Unterkunft 1041 m · Drohnenshots
7,2026-07-24,Geilo,Aurland,Aurlandsfjellet (Fv243); Stegastein; Flåm,190,Winjum Cabin Aurland,Roadtrip-Tag 2 · Stegastein 13:55 · Kreuzfahrtschiff im Hafen · Flåmsbana 16:00–18:04 · abends Color-Line-Schiff auslaufen gesehen
8,2026-07-25,Aurland,Aurland,Flåm; Nærøyfjord; Gudvangen (Viking Valley),10,Winjum Cabin Aurland,Roadtrip-Tag 3 · Erlebnistag · Elektroboot ab 10:15 · Viking Valley Gudvangen 12:15–17:30 · Regen — KEINE Drohnenaufnahmen an diesem Tag
9,2026-07-26,Aurland,Geiranger,Lærdalstunnel; Fähre Mannheller–Fodnes; Laukifossen (Olden); Loen; Rastplatz Videdalen,278,Fossen Camping Geiranger,Roadtrip-Tag 4 · Tunnel 09:33 · Fähre 10:27 · Wasserfall 13:22 · Loen Skylift 14:01 · Ankunft 16:16
10,2026-07-27,Geiranger,Geiranger,Storsæterfossen; Geiranger,10,Fossen Camping Geiranger,Roadtrip-Tag 5 · GEBURTSTAG · kleine Fahrten im Ort (geschaetzt ca. 10 km) · Geburtstagsfrühstück · Treppenweg am Wasserfall · RIB-Safari 15:00
11,2026-07-28,Geiranger,Lom,Gudbrandsjuvet; Trollstigen; Åndalsnes; Dombås; Otta,266,Nordal Turistsenter Lom,Roadtrip-Tag 6 · Gudbrandsjuvet 11:44 (Erdbeeren) · Trollstigen 12:29 auf 702 m · Ankunft Lom 18:19 · Stabkirche, Bäckerei, Spielplatz, Angler
12,2026-07-29,Lom,Uvdal,Stabkirche Lom; Valdresflye (Fv51); Numedal,300,Camp Uvdal,Roadtrip-Tag 7 · Valdresflye Hoehepunkt 1183 m (echte GPS-Messung) · Ankunft 16:44
13,2026-07-30,Uvdal,Uvdal,,10,Camp Uvdal,Aktivitätstag · Einkaufsfahrt (geschaetzt ca. 10 km) · Oskar lernt Emil kennen · Angeln · Soccergolf · Bogenschießen · Kanu · abends Pizza mit den neuen Bekannten
14,2026-07-31,Uvdal,Uvdal,,0,Camp Uvdal,Aktivitätstag · Spaziergang · Kanu · Tischtennis · Bogenschießen · Steine ins Wasser
15,2026-08-01,Uvdal,Skien,Fv40; E134 über Notodden,190.5,Skien,Roadtrip-Tag 10 · Hütte gereinigt · BEWUSST NICHT die schnellste Route über Kongsberg, sondern die westliche über Notodden · Brettspiele, Wäsche
16,2026-08-02,Skien,Skien,,0,Skien,Ruhetag · Zocken · Boardgames · Ribbe
17,2026-08-03,Skien,Skien,Angelplatz bei Langesund,71,Skien,Kleiner Ausflug ab Skien und zurück (ca. 3,5 h) · Angeln an der Schärenküste · viele Drohnenaufnahmen · Oskar fängt einen kleinen Fisch · danach packen
18,2026-08-04,Skien,Grevenbroich,Larvik; Fähre Larvik–Hirtshals 08:00–11:45 (0 gefahrene km · Seeweg); Hamburg Hafen,890,Grevenbroich,Nur gefahrene km (Skien–Larvik + Hirtshals–Grevenbroich) · Faehre separat mit 0 km Autostrecke · KEIN Flensburg-Stopp diesmal · durchgefahren · 07:00 an der Fähre in Larvik · Ankunft abends · Ende der Reise
